Name,Platform,Handle/Channel,Follower Count,Engagement Rate,Content Focus,Contact Info,Recent Sponsored Posts,Suggested Collaboration Approach
Nick Varner,YouTube,@NickVarner,90.7K,N/A,Disciplined mindset & veteran lifestyle,Check channel About page,Unknown,Partner for transition mindset content - aligns with mental preparation theme
The Official Ricky Bowden,YouTube,@TheOfficialRickyBowden,17.9K,N/A,Army culture & transition from soldier to civilian,Check channel About page,Unknown,Ideal for transition toolkit promotion - direct audience match
In The Trenches With Cas,YouTube,@InTheTrenchesWithCas,19.4K,N/A,Retired military veteran lifestyle & legacy building,Check channel About page,Unknown,Partner for career legacy and post-military life content
Combat Craig,YouTube,@CombatCraig,190K,High engagement,VA disability claims & benefits strategies,Check channel About page,Offers paid courses ($189-$999),Affiliate partnership for benefits resources - monetization proven
TheCivDiv,YouTube,@TheCivDiv,77.2K,N/A,VA claims education & transition from Marines,Check channel About page,Unknown,Benefits education partnership - helps with claims process
Veterans InfoTap,YouTube,@VeteransInfoTap,170K,N/A,VA benefits & state benefits for transitioning service members,Check channel About page,Unknown,Resource partnership for benefits section of toolkit
JTsuits,YouTube,@JTsuits,146K,High engagement,Navy veteran content & military comedy,Check channel About page,Unknown,Engagement campaign with humor angle - Navy-focused
Matt Ward,YouTube,@MattWard,123K,N/A,Army officer lifestyle & career insights,Check channel About page,Unknown,Career transition content partnership
Liveth For Evermore,YouTube,@LivethForEvermore,Medium,N/A,"Marine Corps/Army NG veteran, VA benefits & transition",Check channel About page,Unknown,Transition resource partnership - covers multiple service branches
Combat Story,YouTube,@CombatStory,Medium,N/A,Veteran interview podcast - combat experiences,Check channel About page,Unknown,Sponsored interview series about transition success stories
Army Staff Sgt. Nikko Ortiz,TikTok,@nikko,3M+,Very high,Military humor & branch stereotypes,DM via TikTok,Unknown,Brand ambassador program - massive reach for awareness campaign
Michael Eckert,TikTok,@michaeleckert,2.4M,Very high,Military lifestyle content,DM via TikTok,Unknown,Viral campaign partnership - proven engagement
Alysia Magen,TikTok,@alysiamagen,2M,Very high,Air Force veteran content,DM via TikTok,Unknown,Female veteran perspective - diversifies outreach
Terry Lashley,TikTok,@terry.lashley,592K,High,Vet turned mentor - lifestyle & mindset (Vegas-based),DM via TikTok,Unknown,Mentorship angle partnership - aligns with career transition theme
Harry Schoen,TikTok,@harryschoen,561.1K,High,"Combat veteran, USAF, firefighter, live streamer",DM via TikTok,Unknown,Multi-career transition story - shows career pivoting
