scholarship_name,organization,amount,application_deadline,eligibility_requirements,branch_specific,education_level,award_type,renewable,contact_email,website,notes
Pat Tillman Foundation Scholarship,Pat Tillman Foundation,"$10,000",March 1,"Active-duty, veterans, spouses",All Branches,Undergraduate/Graduate,Merit-based,Yes,scholars@pattillmanfoundation.org,https://www.pattillmanfoundation.org,"Leadership focus, service commitment"
AMVETS National Scholarship,AMVETS,"$4,000",April 15,"Veterans, active-duty, dependents",All Branches,Undergraduate,Merit-based,No,amvets@amvets.org,https://www.amvets.org/scholarships,"Financial need considered"
VFW Sport Clips Help A Hero Scholarship,VFW,"$5,000",April 30,"Service-connected disabled veterans",All Branches,Undergraduate/Graduate,Need-based,No,info@vfw.org,https://www.vfw.org/assistance/student-veterans-support,"For disabled veterans only"
American Legion Legacy Scholarship,American Legion,"$20,000",April 15,"Children of post-9/11 fallen service members",All Branches,Undergraduate,Merit-based,Yes,scholarships@legion.org,https://www.legion.org/scholarships,"Gold Star families"
Fisher House Scholarship for Military Children,Fisher House Foundation,"$2,000",February 15,"Dependent children of active-duty, reserve",All Branches,Undergraduate,Merit-based,No,scholarships@fisherhouse.org,https://www.militaryscholar.org,"CommissaryID required"
Marine Corps Scholarship Foundation,MCSF,"$10,000",March 1,"Children of Marines, Navy Corpsmen",Marine Corps/Navy,Undergraduate,Need-based,Yes,scholars@mcsf.org,https://www.mcsf.org,"Largest Marine scholarship program"
Army Women's Foundation Legacy Scholarship,Army Women's Foundation,"$2,500",March 31,"Women veterans, Army service members",Army,Undergraduate/Graduate,Merit-based,No,info@awfdn.org,https://www.awfdn.org/scholarships,"Women veterans only"
Navy-Marine Corps Relief Society Education Assistance,NMCRS,"$3,000",May 1,"Active-duty Navy, Marine Corps, dependents",Navy/Marine Corps,Undergraduate,Need-based,Yes,education@nmcrs.org,https://www.nmcrs.org/education-loans-and-scholarships,"Interest-free loans also available"
Air Force Aid Society General Henry H. Arnold Education Grant,AFAS,"$2,000",April 30,"Dependent children of Air Force members",Air Force,Undergraduate,Need-based,Yes,ed@afas-hq.org,https://www.afas.org/how-we-help/education-support,"Must be selected child"
Coast Guard Foundation Scholarship,Coast Guard Foundation,"$5,000",March 15,"Coast Guard members and dependents",Coast Guard,Undergraduate/Graduate,Merit-based,No,info@coastguardfoundation.org,https://www.coastguardfoundation.org,"Strong academic record required"
Tailhook Educational Foundation Scholarship,Tailhook Association,"$15,000",March 1,"Naval aviators and dependents",Navy,Undergraduate/Graduate,Merit-based,Yes,thookassn@aol.com,https://www.tailhook.net,"Naval aviation focus"
Society of American Military Engineers Scholarship,SAME,"$10,000",May 1,"Veterans pursuing engineering degrees",All Branches,Undergraduate/Graduate,Merit-based,No,editor@same.org,https://www.same.org/Get-Involved/Scholarships,"Engineering majors only"
Military Officers Association Scholarship,MOAA,"$5,000",March 1,"Children of MOAA members, uniformed services",All Branches,Undergraduate,Merit-based,Yes,edassist@moaa.org,https://www.moaa.org/content/financial-assistance-and-scholarships,"Interest-free loans available"
Scholarships for Military Children,Defense Commissary Agency,"$2,000",February 21,"Dependents of active-duty, reserve, retired",All Branches,Undergraduate,Merit-based,No,militaryscholar@scholarshipmanagers.com,https://www.militaryscholar.org,"Commissary-based program"
AFCEA STEM Majors Scholarship,AFCEA,"$5,000",April 15,"Veterans pursuing STEM degrees",All Branches,Undergraduate/Graduate,Merit-based,No,scholarships@afcea.org,https://www.afcea.org/scholarships,"STEM fields only"
EOD Warrior Foundation Scholarship,EOD Warrior Foundation,"$5,000",March 15,"EOD technicians and families",All Branches,Undergraduate/Graduate,Need-based,Yes,info@eodwarriorfoundation.org,https://www.eodwarriorfoundation.org,"Explosive Ordnance Disposal focus"
Special Operations Warrior Foundation Scholarship,SOWF,"Full Tuition",Rolling,"Children of fallen special operations personnel",All Branches,Undergraduate,Need-based,Yes,warrior@specialops.org,https://www.specialops.org,"Full tuition and expenses"
Folds of Honor Scholarship,Folds of Honor,"$5,000",March 31,"Spouses and children of fallen, disabled service members",All Branches,Undergraduate,Need-based,Yes,scholarships@foldsofhonor.org,https://www.foldsofhonor.org,"Financial need required"
Horatio Alger Military Veterans Scholarship,Horatio Alger Association,"$25,000",March 15,"Veterans enrolled full-time",All Branches,Undergraduate,Need-based,No,scholars@horatioalger.org,https://www.horatioalger.org,"Critical financial need"
Cohen Veterans Network Mental Health Scholarship,Cohen Veterans Network,"$5,000",May 1,"Veterans pursuing mental health degrees",All Branches,Graduate,Merit-based,No,info@cohenveteransnetwork.org,https://www.cohenveteransnetwork.org,"Mental health field focus"
Military Order of the Purple Heart Scholarship,MOPH,"$3,000",February 15,"Purple Heart recipients and descendants",All Branches,Undergraduate,Merit-based,Yes,scholarship@purpleheart.org,https://www.purpleheart.org,"Combat wounded priority"
Iraq and Afghanistan Veterans of America Scholarship,IAVA,"$2,500",April 1,"Post-9/11 veterans",All Branches,Undergraduate/Graduate,Merit-based,No,info@iava.org,https://www.iava.org,"IAVA membership required"
Veterans of Foreign Wars Voice of Democracy,VFW,"$30,000",October 31,"High school students (essay/audio contest)",All Branches,Undergraduate,Merit-based,No,info@vfw.org,https://www.vfw.org/community/youth-and-education,"Audio essay competition"
Elks National Foundation Veterans Scholarship,Elks National Foundation,"$4,000",December 31,"Honorably discharged veterans",All Branches,Undergraduate,Merit-based,No,scholarship@elks.org,https://www.elks.org/scholars,"Elks sponsorship helpful"
Daughters of the American Revolution Veterans Scholarship,DAR,"$5,000",February 15,"Veterans and dependents",All Branches,Undergraduate,Merit-based,No,nsdarscholarships@dar.org,https://www.dar.org/national-society/scholarships,"Must be DAR sponsored"
Army Nurse Corps Association Scholarship,ANCA,"$3,000",March 31,"Nursing students with Army connection",Army,Undergraduate/Graduate,Merit-based,No,education@e-anca.org,https://www.e-anca.org,"Nursing majors only"
Naval Helicopter Association Scholarship,NHA,"$3,000",January 31,"Naval helicopter community members, dependents",Navy,Undergraduate,Merit-based,Yes,nhascholarships@gmail.com,https://www.nha.org,"Rotary-wing focus"
Air Force Sergeants Association Scholarship,AFSA,"$3,000",March 31,"AFSA members, spouses, dependents",Air Force,Undergraduate/Graduate,Merit-based,Yes,staff@hqafsa.org,https://www.hqafsa.org,"AFSA membership required"
Chief Petty Officer Scholarship Fund,CPOSF,"$2,500",April 1,"Dependents of CPOs",Navy,Undergraduate,Merit-based,No,cposcholarship@gmail.com,https://www.cposf.org,"Chief Petty Officer families"
Military Intelligence Corps Association Scholarship,MICA,"$2,000",June 1,"Military Intelligence veterans, dependents",Army,Undergraduate/Graduate,Merit-based,No,mica@justpro.net,https://www.micorps.org,"Intelligence field focus"
Paralyzed Veterans of America Scholarship,PVA,"$1,000",June 1,"PVA members and families",All Branches,Undergraduate/Graduate,Need-based,No,info@pva.org,https://www.pva.org,"Spinal cord injury veterans"
Women Marines Association Scholarship,WMA,"$3,000",March 1,"Women Marines and descendants",Marine Corps,Undergraduate/Graduate,Merit-based,No,wma@womenmarines.org,https://www.womenmarines.org,"Women Marine focus"
Military Order of World Wars Scholarship,MOWW,"$3,000",March 1,"Descendants of military officers",All Branches,Undergraduate,Merit-based,No,chiefofstaff@moww.org,https://www.moww.org,"Officer lineage required"
National Military Family Association Spouse Scholarship,NMFA,"$1,000",January 31,"Military spouses pursuing education",All Branches,Undergraduate/Graduate/Certification,Need-based,No,scholarships@militaryfamily.org,https://www.militaryfamily.org,"Spouse focus"
Returning Heroes Home Scholarship,Returning Heroes Home,"$2,500",April 15,"Veterans with PTSD, TBI",All Branches,Undergraduate/Graduate,Need-based,No,info@returningheroeshome.org,https://www.returningheroeshome.org,"Mental health support"
Semper Fi Fund Scholarship,Semper Fi & America's Fund,"$5,000",Rolling,"Post-9/11 wounded, critically ill, injured service members",All Branches,Undergraduate/Graduate,Need-based,Yes,info@semperfifund.org,https://www.semperfifund.org,"Wounded warrior focus"
Blue Star Families Scholarship,Blue Star Families,"$2,500",March 31,"Military families facing transition",All Branches,Undergraduate,Need-based,No,info@bluestarfam.org,https://www.bluestarfam.org,"Transitioning families"
NGAUS Educational Foundation Scholarship,National Guard Association,"$2,000",March 1,"National Guard members and dependents",National Guard,Undergraduate,Merit-based,No,ngaus@ngaus.org,https://www.ngaus.org,"Guard members priority"
Enlisted Association National Guard Scholarship,EANGUS,"$2,000",April 1,"Enlisted Guard members, dependents",National Guard,Undergraduate,Merit-based,No,eangus@eangus.org,https://www.eangus.org,"Enlisted Guard focus"
Reserve Officers Association Scholarship,ROA,"$1,500",May 15,"Reserve, Guard officers and dependents",Reserve/Guard,Undergraduate/Graduate,Merit-based,No,scholarship@roa.org,https://www.roa.org,"Reserve component focus"
Navy League Foundation Scholarship,Navy League,"$5,000",March 1,"Sea service members and dependents",Navy/Marine Corps/Coast Guard,Undergraduate,Merit-based,Yes,scholarships@navyleague.org,https://www.navyleague.org,"Sea services focus"
Military Child Education Coalition Scholarship,MCEC,"$2,000",February 1,"Military children facing challenges",All Branches,Undergraduate,Need-based,No,info@militarychild.org,https://www.militarychild.org,"Military-connected youth"
Second Marine Division Association Scholarship,2nd Marine Division Association,"$1,500",April 1,"2nd MARDIV Marines and descendants",Marine Corps,Undergraduate,Merit-based,No,scholarship@2ndmardiv.org,https://www.2ndmardiv.com,"2nd Marine Division affiliation"
1st Cavalry Division Association Scholarship,1st Cavalry Division Association,"$2,500",June 15,"1st CAV troopers and families",Army,Undergraduate,Merit-based,No,firstcav@1cda.org,https://www.1cda.org,"1st Cavalry affiliation"
82nd Airborne Division Association Scholarship,82nd Airborne Association,"$2,000",April 1,"82nd Airborne members, dependents",Army,Undergraduate,Merit-based,No,info@82ndairborneassociation.org,https://www.82ndairborneassociation.org,"Airborne qualification"
101st Airborne Division Association Scholarship,101st Airborne Association,"$2,500",May 1,"101st Airborne members, families",Army,Undergraduate,Merit-based,No,scholarship@screamineagle.org,https://www.screamineagle.org,"Screaming Eagles affiliation"
