installation_name,branch,state,city,office_name,building_location,phone,email,website,walk_in_hours,appointment_scheduling,services_offered,skillbridge_available,notes
Fort Cavazos,Army,Texas,Killeen,Soldier for Life TAP,Building 18010 T J Mills Boulevard,(254) 288-2227,usarmy.cavazos.id-readiness.mbx.dhr-tap@army.mil,https://home.army.mil/cavazos,Mon-Fri 8:00-4:00,Call or email,Career counseling; Resume assistance; Interview preparation; SkillBridge; Job search,Yes,Formerly Fort Hood - comprehensive transition services
Fort Liberty,Army,North Carolina,Fayetteville,Transition Assistance Program,Soldier Support Center,(910) 396-5169,usarmy.liberty.imcom.mbx.tap-email@army.mil,https://home.army.mil/liberty,Mon-Fri 8:00-4:30,Online scheduling available,TAP workshops; Career counseling; VA benefits; Employment assistance; SkillBridge,Yes,Formerly Fort Bragg - largest Army installation
Fort Campbell,Army,Kentucky,Fort Campbell,Transition Assistance Program,Building 5661 Screaming Eagle Boulevard,(270) 798-5000,usarmy.campbell.imcom.mbx.dhr-tap@army.mil,https://home.army.mil/campbell,Mon-Fri 8:00-4:00,Call for appointment,Career services; Education counseling; VA benefits; SkillBridge; Spouse employment,Yes,Tennessee-Kentucky border installation
Fort Moore,Army,Georgia,Fort Moore,Army Transition Assistance Program,Building 8150 Marne Road,(706) 545-2308,usarmy.moore.imcom.mbx.tap@army.mil,https://www.moore.army.mil/garrison/dhr/tap,Mon-Fri 7:30-4:30,Phone or walk-in,TAP courses; Career counseling; Resume writing; Job fairs; SkillBridge; Virtual center 24/7,Yes,Formerly Fort Benning - Infantry and Armor training center
Fort Knox,Army,Kentucky,Fort Knox,Transition Services Branch,Building 1384 Room 103,(502) 624-7236,usarmy.knox.imcom.mbx.transition-services@army.mil,https://home.army.mil/knox,Mon-Fri 8:00-4:30,Call or online,Full TAP services; Career counseling; Education benefits; SkillBridge; Job placement,Yes,Home of Army Human Resources Command
Joint Base Lewis-McChord,Joint,Washington,Tacoma,Soldier for Life TAP,Hawk Career Center,(253) 967-3258,usarmy.jblm.imcom.list.dpfr-tap-outreach@army.mil,https://home.army.mil/lewis-mcchord,Mon-Fri 8:00-5:00,Email or phone,TAP workshops; Career counseling; Resume assistance; Job fairs; SkillBridge; Spouse support,Yes,Combined Army and Air Force installation
Fort Bliss,Army,Texas,El Paso,Transition Assistance Program,Building 2418 Pleasonton Road,(915) 568-8040,usarmy.bliss.imcom.mbx.tap@army.mil,https://home.army.mil/bliss,Mon-Fri 8:00-4:30,Walk-in or appointment,TAP classes; Career services; Education counseling; SkillBridge; Bilingual support,Yes,Large southwestern training installation
Fort Carson,Army,Colorado,Colorado Springs,Soldier for Life TAP,Building 1042 Specker Avenue,(719) 526-2588,usarmy.carson.imcom.mbx.tap-email@army.mil,https://home.army.mil/carson,Mon-Fri 7:30-4:30,Call for appointment,TAP services; Career counseling; VA benefits; Education; SkillBridge; Mountain Post,Yes,Mountain Division training center
Fort Stewart,Army,Georgia,Hinesville,Transition Services,Building 1234 Frank Cochran Drive,(912) 767-3395,usarmy.stewart.imcom.mbx.tap@army.mil,https://home.army.mil/stewart,Mon-Fri 8:00-4:00,Phone or email,TAP workshops; Career counseling; Resume services; Job search; SkillBridge,Yes,Home of 3rd Infantry Division
Fort Riley,Army,Kansas,Junction City,Transition Assistance Program,Building 210 Huebner Road,(785) 239-3320,usarmy.riley.imcom.mbx.transition@army.mil,https://home.army.mil/riley,Mon-Fri 8:00-4:30,Walk-in or call,Full TAP services; Career counseling; Education benefits; SkillBridge; Spouse employment,Yes,First Division headquarters
Fort Sill,Army,Oklahoma,Lawton,Soldier for Life TAP,Building 4700 Mow-Way Road,(580) 442-2525,usarmy.sill.imcom.mbx.tap@army.mil,https://home.army.mil/sill,Mon-Fri 7:30-4:30,Call or email,TAP classes; Career services; VA counseling; Education; SkillBridge; Artillery training,Yes,Field Artillery training center
Fort Hood,Army,Texas,Killeen,Transition Assistance,Building 18010,(254) 288-2227,tap.forthood@us.army.mil,https://home.army.mil/cavazos,Mon-Fri 8:00-4:00,Phone appointment,TAP workshops; Career counseling; SkillBridge; Job placement,Yes,Now Fort Cavazos
Fort Drum,Army,New York,Fort Drum,Soldier for Life TAP,Building T-107 1st Street,(315) 772-6465,usarmy.drum.imcom.mbx.tap@army.mil,https://home.army.mil/drum,Mon-Fri 7:30-4:30,Call ahead,TAP services; Career counseling; Cold weather training support; SkillBridge,Yes,10th Mountain Division home
Fort Polk,Army,Louisiana,Fort Polk,Transition Assistance Program,Building 917 Louisiana Avenue,(337) 531-2498,usarmy.polk.imcom.mbx.tap@army.mil,https://home.army.mil/polk,Mon-Fri 8:00-4:00,Walk-in or phone,Full TAP services; Career counseling; Education; SkillBridge; JRTC support,Yes,Joint Readiness Training Center
Joint Base San Antonio,Joint,Texas,San Antonio,Transition Assistance Program,Building 2484 Stanley Road,(210) 221-2705,jbsa.tap@us.af.mil,https://www.jbsa.mil,Mon-Fri 7:30-4:30,Online or phone,TAP workshops; Career services; Education; SkillBridge; Multi-service support,Yes,Largest joint base - Fort Sam Houston Lackland Randolph
Fort Benning,Army,Georgia,Columbus,TAP Center,Building 8150 Marne Road,(706) 545-2309,tap.ftbenning@us.army.mil,https://www.moore.army.mil,Mon-Fri 7:30-4:30,Call or email,TAP services; Career counseling; SkillBridge,Yes,Now Fort Moore - Infantry Center
Camp Pendleton,Marines,California,Oceanside,Transition Readiness Program,Building 13150 Room 311,(760) 725-5740,CPSDP@USMC.MIL,https://pendleton.usmc-mccs.org,Mon-Fri 7:30-4:30,Email preferred,Transition seminars; Career counseling; Resume services; SkillBridge; Education,Yes,Largest Marine Corps West Coast base
Camp Lejeune,Marines,North Carolina,Jacksonville,Transition Readiness Program,Building 825 Stone Street Room 414,(910) 451-3282,clnrskillbridge@usmc.mil,https://lejeunenewriver.usmc-mccs.org,Mon-Fri 7:30-4:30,Email or call,TRS workshops; Career services; Education counseling; SkillBridge; Spouse support,Yes,Major Marine Corps East Coast base
MCAS Miramar,Marines,California,San Diego,Transition Readiness,Building 2145 Miramar Way,(858) 577-1085,miramartrp@usmc.mil,https://miramar.usmc-mccs.org,Mon-Fri 7:30-4:00,Call for appointment,Transition seminars; Career counseling; Education; SkillBridge; Aviation community,Yes,Marine Corps Air Station
29 Palms,Marines,California,Twentynine Palms,Transition Readiness Program,Building 1551 Timberlake Road,(760) 830-6466,plmsppd@usmc.mil,https://29palms.usmc-mccs.org,Mon-Fri 7:30-4:30,Email or phone,TRS; Career services; Education; SkillBridge; Desert training support,Yes,Marine Corps combat training center
Camp Pendleton North,Marines,California,Oceanside,Career Resource Management,Building 22165,(760) 725-2421,pendleton.crm@usmc.mil,https://pendleton.usmc-mccs.org,Mon-Fri 8:00-4:00,Walk-in or appointment,Career counseling; Resume services; Job search; SkillBridge; Networking,Yes,North side MCBCP services
Marine Corps Base Quantico,Marines,Virginia,Quantico,Transition Readiness Program,Building 3019,(703) 784-2511,quantico.trp@usmc.mil,https://quantico.usmc-mccs.org,Mon-Fri 7:15-4:30,Call ahead,TRS seminars; Career services; Education; SkillBridge; Officer training support,Yes,Marine Corps University location
MCAS Beaufort,Marines,South Carolina,Beaufort,Transition Readiness,Building 501 West Street,(843) 228-7272,beaufort.trp@usmc.mil,https://beaufort.usmc-mccs.org,Mon-Fri 7:30-4:30,Phone or email,Transition seminars; Career counseling; SkillBridge; Aviation support,Yes,Marine Corps Air Station
Marine Corps Base Hawaii,Marines,Hawaii,Kaneohe Bay,Transition Readiness Program,Building 1417,(808) 257-7744,hawaii.trp@usmc.mil,https://hawaii.usmc-mccs.org,Mon-Fri 7:30-4:30,Email preferred,TRS; Career services; Education; SkillBridge; Pacific region support,Yes,Kaneohe Bay installation
MCB Camp Lejeune,Marines,North Carolina,Camp Lejeune,Career Resource Management,Building 825,(910) 451-3283,lejeune.crm@usmc.mil,https://lejeunenewriver.usmc-mccs.org,Mon-Fri 8:00-4:00,Walk-in welcome,Career counseling; Job search; Resume assistance; Networking; SkillBridge,Yes,East Coast Marine hub
MCAS Cherry Point,Marines,North Carolina,Havelock,Transition Readiness,Building 203 Henderson Drive,(252) 466-4305,cherrypoint.trp@usmc.mil,https://cherrypoint.usmc-mccs.org,Mon-Fri 7:30-4:00,Call for appointment,TRS workshops; Career services; SkillBridge; Aviation maintenance community,Yes,Marine Corps Air Station
Naval Base San Diego,Navy,California,San Diego,Fleet and Family Support Center,Building 228 Decatur Road,(619) 556-7943,ffsc.nbsd@navy.mil,https://sandiego.navylifesw.com,Mon-Fri 7:30-4:00,Walk-in or online,Transition GPS; Career counseling; Education; SkillBridge; Spouse employment; Resume,Yes,Largest Navy base on West Coast
Naval Station Norfolk,Navy,Virginia,Norfolk,Fleet and Family Support Center,Building S-63 1526 Piersey Street,(757) 444-5925,ffsc.nsaw.fct@navy.mil,https://www.navymwrmidlant.com,Mon-Fri 7:30-4:00,Call or email,TGPS workshops; Career services; VA benefits; Education; SkillBridge; Job placement,Yes,Largest naval station in the world
Naval Air Station Jacksonville,Navy,Florida,Jacksonville,Fleet and Family Support Center,Building 802 Allegheny Road,(904) 542-5745,nasjax.ffsc@navy.mil,https://nasjax.navylifesw.com,Mon-Fri 7:30-4:00,Phone or walk-in,Transition GPS; Career counseling; Resume; Education; SkillBridge; Aviation support,Yes,Southeast Navy hub
