Business Name,Owner/Contact,Phone,Email,Website,Address,City,County,Service Areas,Specializations,CAPS Certified,License Number,Years in Business,Est Annual Revenue,Employees,Google Rating,Yelp Rating,BBB Rating,VA Grant Experience,Social Media
Accessible Home Solutions,Michael Rodriguez,(619) 555-0101,mike@accessiblehomesolutions.com,www.accessiblehomesolutions.com,1234 Market St,San Diego,San Diego,"San Diego, Imperial","Bathroom remodeling, Roll-in showers, Grab bars, Wheelchair ramps",Yes,CA-1001234,15,$2.5M,12,4.8,4.5,A+,Yes,"LinkedIn, Facebook"
Golden State Accessibility,Jennifer Chen,(858) 555-0102,jennifer@goldenstateaccess.com,www.goldenstateaccess.com,5678 La Jolla Blvd,La Jolla,San Diego,"San Diego County","ADA compliance, Universal design, Home automation",Yes,CA-1001235,12,$3.2M,18,4.9,4.7,A+,Yes,"LinkedIn, Facebook, Instagram"
Veterans First Remodeling,David Thompson,(760) 555-0103,david@veteransfirstremodeling.com,www.veteransfirstremodeling.com,910 Vista Way,Oceanside,San Diego,"North San Diego County","VA-specific projects, Bathroom modifications, Kitchen remodeling",Yes,CA-1001236,10,$1.8M,8,4.7,4.6,A,Yes,"LinkedIn, Facebook"
Adaptive Living Contractors,Sarah Martinez,(619) 555-0104,sarah@adaptivelivingcontractors.com,www.adaptivelivingcontractors.com,2468 El Cajon Blvd,El Cajon,San Diego,"East San Diego County","Elevator installation, Stair lifts, Platform lifts",Yes,CA-1001237,18,$4.1M,25,4.8,4.8,A+,Yes,"LinkedIn, Instagram"
Safe Harbor Builders,Robert Williams,(619) 555-0105,robert@safeharborbuilders.com,www.safeharborbuilders.com,1357 Chula Vista Blvd,Chula Vista,San Diego,"South San Diego County","Ramp installation, Widened doorways, Accessible flooring",No,CA-1001238,8,$950K,6,4.6,4.4,A,No,"Facebook"
Independence Home Modifications,Lisa Anderson,(858) 555-0106,lisa@independencehomemod.com,www.independencehomemod.com,7890 Miramar Rd,San Diego,San Diego,"San Diego County","Smart home integration, Voice control systems, Automated doors",Yes,CA-1001239,14,$2.8M,16,4.9,4.7,A+,Yes,"LinkedIn, Facebook, Instagram"
Mobility Masters Construction,James Brown,(760) 555-0107,james@mobilitymasters.com,www.mobilitymasters.com,3456 Carlsbad Blvd,Carlsbad,San Diego,"North County Coastal","Wheelchair accessible bathrooms, Roll-in showers, Grab bar installation",Yes,CA-1001240,11,$2.1M,10,4.7,4.5,A,Yes,"LinkedIn, Facebook"
Freedom Home Builders,Patricia Garcia,(619) 555-0108,patricia@freedomhomebuilders.com,www.freedomhomebuilders.com,8901 National City Blvd,National City,San Diego,"South San Diego","New construction, SAH complete builds, Custom accessible homes",Yes,CA-1001241,20,$5.5M,35,4.9,4.8,A+,Yes,"LinkedIn, Facebook, Instagram, Twitter"
Accessible Design Group,Kevin Lee,(858) 555-0109,kevin@accessibledesigngroup.com,www.accessibledesigngroup.com,4567 UTC Dr,La Jolla,San Diego,"San Diego County","Universal design, CAPS consulting, Aging-in-place planning",Yes,CA-1001242,16,$3.8M,22,4.8,4.7,A+,Yes,"LinkedIn, Instagram"
Barrier-Free Living,Michelle Davis,(760) 555-0110,michelle@barrierfreeliving.com,www.barrierfreeliving.com,2345 San Marcos Blvd,San Marcos,San Diego,"North Inland San Diego","Accessible kitchens, Lowered countertops, Pull-out shelving",Yes,CA-1001243,9,$1.6M,9,4.6,4.5,A,Yes,"Facebook, Instagram"
Elite Accessibility Solutions,Christopher Wilson,(619) 555-0111,chris@eliteaccessibility.com,www.eliteaccessibility.com,6789 Broadway,Santee,San Diego,"East County","Pool lifts, Aquatic accessibility, Outdoor modifications",No,CA-1001244,7,$1.2M,5,4.5,4.3,A-,No,"Facebook"
Comfort & Access Remodeling,Amanda Taylor,(858) 555-0112,amanda@comfortaccess.com,www.comfortaccess.com,9012 Clairemont Mesa Blvd,San Diego,San Diego,"Central San Diego","Bathroom remodeling, Walk-in tubs, Accessible showers",Yes,CA-1001245,13,$2.4M,14,4.7,4.6,A,Yes,"LinkedIn, Facebook"
San Diego Accessible Homes,Daniel Martinez,(619) 555-0113,daniel@sdaccessiblehomes.com,www.sdaccessiblehomes.com,3456 Imperial Ave,San Diego,San Diego,"San Diego Metro","Complete home renovations, Multi-room accessibility, Smart home tech",Yes,CA-1001246,19,$4.8M,30,4.9,4.8,A+,Yes,"LinkedIn, Facebook, Instagram"
