company_name,industry,headquarters_state,company_size,veteran_hiring_commitment,military_recruiter_contact,careers_page_url,veteran_specific_url,skillbridge_partner,apprenticeship_programs,security_clearance_jobs,remote_opportunities,top_veteran_roles,application_tips,notes
Amazon,Technology/Logistics,Washington,1500000,100000 veterans and spouses by 2024,Military recruiting team,(888) 435-9287,https://www.amazon.jobs,https://hiring.amazon.com/our-team/military,Yes,Yes,Yes,Yes,"Operations Manager, Logistics Coordinator, Software Engineer, Cloud Solutions Architect, Warehouse Manager","Use military skills translator tool, highlight leadership experience",Surpassed 100K veteran hiring goal
Microsoft,Technology,Washington,221000,Ongoing commitment through MSSA,Military recruiting: (425) 706-9808,https://careers.microsoft.com,https://military.microsoft.com,Yes,Yes,Yes,Yes,"Software Engineer, Cloud Architect, Program Manager, Cybersecurity Analyst, Technical Support","Complete MSSA program for training, emphasize technical skills",17-week Microsoft Software and Systems Academy
Google,Technology,California,190000,Ongoing through Help a Hero,veterans@google.com,https://careers.google.com,https://careers.google.com/veterans,Yes,No,Yes,Yes,"Software Engineer, Technical Program Manager, Data Analyst, Cloud Solutions, Site Reliability Engineer","Join Google Veterans Network, attend career fairs",Partners with SVA and IAVA
Apple,Technology,California,164000,Ongoing commitment,careers@apple.com,https://www.apple.com/careers,https://www.apple.com/jobs/us/,No,Yes,Limited,Yes,"Retail Specialist, Technical Support, Software Engineer, Operations Manager, Hardware Engineer",Highlight customer service and technical aptitude,Strong employee benefits
Meta (Facebook),Technology,California,86000,Ongoing veteran initiatives,veteranrecruiting@meta.com,https://www.metacareers.com,https://www.metacareers.com/careerprograms/veterans,Yes,No,Yes,Yes,"Software Engineer, Data Scientist, Product Manager, Security Analyst, Network Engineer",Strong technical background preferred,Remote work options available
IBM,Technology,New York,282000,Ongoing commitment,ibmveterans@us.ibm.com,https://www.ibm.com/employment,https://www.ibm.com/employment/veterans,Yes,Yes,Yes,Yes,"Software Developer, Cloud Engineer, Cybersecurity Consultant, AI Specialist, Data Scientist","Use SkillsBuild platform, obtain certifications",Long history of veteran hiring
Intel,Technology,California,121000,Ongoing veteran programs,veteranrecruiting@intel.com,https://jobs.intel.com,https://www.intel.com/content/www/us/en/jobs/culture/military-veterans.html,Yes,Yes,Yes,Yes,"Hardware Engineer, Software Developer, Manufacturing Technician, Supply Chain Analyst","Highlight technical training, pursue relevant certifications",Semiconductor manufacturing focus
Lockheed Martin,Defense,Maryland,122000,Ongoing - 67% facing talent shortage,Military recruiting: (866) 562-5433,https://www.lockheedmartinjobs.com,https://www.lockheedmartinjobs.com/military,Yes,Yes,Yes,Limited,"Systems Engineer, Program Manager, Cybersecurity Specialist, Aerospace Engineer, Test Engineer","Security clearance highly valued, technical degrees preferred",Top defense contractor $64.7B revenue
Raytheon Technologies (RTX),Defense,Massachusetts,185000,Ongoing veteran recruitment,rtx.veterans@rtx.com,https://careers.rtx.com,https://careers.rtx.com/global/en/veterans,Yes,Yes,Yes,No,"Systems Engineer, Software Developer, Manufacturing Engineer, Program Manager, Test Engineer","Maintain security clearance, highlight technical experience",$40.6B defense revenue
Northrop Grumman,Defense,Virginia,95000,Ongoing veteran hiring,veteranrecruitment@ngc.com,https://www.northropgrumman.com/careers,https://www.northropgrumman.com/careers/life-at-ng/veterans,Yes,Yes,Yes,Limited,"Systems Engineer, Cybersecurity Analyst, Software Engineer, Manufacturing Tech, Program Analyst","Security clearance essential, STEM background valued",$35.2B defense revenue
